variable,coefficient,pvalue,std_error,policy,var,lower,upper,r2,grp
P_m3,26.650908255554118,0.0,0.9236470173986211,dt,num_visits_wt,24.38909208404747,28.953851927133133,0.648619172938535,r_grp
P_m4,26.529103278625477,0.0,0.8757885082664174,dt,num_visits_wt,24.385042628445763,28.710121717093106,0.648619172938535,r_grp
rain,-0.0738226719404933,0.20162134140113275,0.057849978047164186,dt,num_visits_wt,-0.18702591231204435,0.03950895828968015,0.648619172938535,r_grp
fuel_price,53.64143817590619,0.0,2.9911229799278294,dt,num_visits_wt,45.01777228781041,62.7779213013397,0.648619172938535,r_grp
fuel_price_year,-27.960865625893284,0.00019474648203776646,9.201624520876383,dt,num_visits_wt,-39.37652482343472,-14.39558906420596,0.648619172938535,r_grp
P_m1,22.89544226696181,0.0,1.083017172229983,dt,num_visits_wt,20.32799501161715,25.517671332710123,0.6489599251345359,cluster
P_m2,32.17314050599338,0.0,0.8011419726075442,dt,num_visits_wt,30.12209520503555,34.25651534191567,0.6489599251345359,cluster
P_m3,37.326646930668005,0.0,0.8475568588384386,dt,num_visits_wt,35.07370128585525,39.61717031289491,0.6489599251345359,cluster
P_m4,36.94706751133376,0.0,1.8556068300596973,dt,num_visits_wt,32.0999159048265,41.97207599636765,0.6489599251345359,cluster
rain,-0.07158909785259793,0.2214975283859224,0.058595048412768413,dt,num_visits_wt,-0.1862516222777444,0.043205146848768194,0.6489599251345359,cluster
fuel_price,54.300746175365155,0.0,2.864554762658633,dt,num_visits_wt,45.991508735374524,63.08291130431671,0.6489599251345359,cluster
fuel_price_year,-28.771311149540814,6.317282053358575e-05,8.85049756970977,dt,num_visits_wt,-39.67898285137505,-15.891237330185126,0.6489599251345359,cluster
P_m,11.874676664764472,9.960920976936904e-13,1.585974032317794,dt,d_ha_wt,8.477056216972345,15.378714313666553,0.45171600410356494,all
rain,0.06716867586746833,0.0008169194569263016,0.020063613270315805,dt,d_ha_wt,0.027829984596960955,0.10652283815870689,0.45171600410356494,all
fuel_price,-8.651615586525985,0.008621981388068134,3.5050319719098777,dt,d_ha_wt,-14.615912684950272,-2.2706970660442694,0.45171600410356494,all
fuel_price_year,48.681483481085806,0.6142836800926663,119.6853311096996,dt,d_ha_wt,-68.20644289840546,595.3038774333213,0.45171600410356494,all
P_m,10.928456671859955,5.2367887803939084e-11,1.5926003340790196,dt,d_ha_wt,7.545823127875284,14.417484024177728,0.46295761097698485,all_weekday
rain,0.029889923715797906,0.07183211589065608,0.016602743820470778,dt,d_ha_wt,-0.0026525861507420423,0.06244302401274826,0.46295761097698485,all_weekday
