variable,coefficient,pvalue,std_error,policy,var,lower,upper,r2,grp
P_m21,13.66668830094242,0.01248536015668611,5.261613241781338,dt,num_visits_wt,2.7980239354806535,25.684478501383246,0.5794877908169532,fr_grp_v_thr_5
P_m22,-9.402361502797273,0.11690072235410653,6.5001928523754415,dt,num_visits_wt,-19.922392344621965,2.499716732216628,0.5794877908169532,fr_grp_v_thr_5
P_m23,14.232802288855527,0.08386932815627701,8.001784247289233,dt,num_visits_wt,-1.7647371883628415,32.83552917027399,0.5794877908169532,fr_grp_v_thr_5
P_m31,36.70124419166279,0.0,2.318314813774225,dt,num_visits_wt,30.696574056679427,42.98179044421235,0.5794877908169532,fr_grp_v_thr_5
P_m32,23.773158781767556,9.269048092130916e-05,5.607771338602241,dt,num_visits_wt,11.220132386905245,37.7430012537942,0.5794877908169532,fr_grp_v_thr_5
P_m33,27.682002702001963,7.476264052286297e-11,3.8246833842203287,dt,num_visits_wt,18.626322426930074,37.428974282128365,0.5794877908169532,fr_grp_v_thr_5
P_m0,24.180672693950967,0.0,0.6273386061677044,dt,num_visits_wt,22.667855285335857,25.712147121607345,0.5794877908169532,fr_grp_v_thr_5
rain,-0.04550116745858368,0.2658981719327991,0.04091545743636349,dt,num_visits_wt,-0.125608989996151,0.034670908419265345,0.5794877908169532,fr_grp_v_thr_5
fuel_price,45.757429052259944,0.0,1.4743566320806867,dt,num_visits_wt,41.63564596256133,49.99916143666518,0.5794877908169532,fr_grp_v_thr_5
fuel_price_year,-25.830465907966815,0.00017844525748222928,8.29976663876948,dt,num_visits_wt,-36.56092276466146,-13.284996769075141,0.5794877908169532,fr_grp_v_thr_5
P_m11,20.867337073390104,0.0,1.837686146148787,dt,num_visits_wt,16.629532116280778,25.25912525008911,0.5794531610898197,fr_grp_v_thr_6
P_m12,25.50133765795348,0.0,1.6740172707962797,dt,num_visits_wt,21.483430421527384,29.65213197621872,0.5794531610898197,fr_grp_v_thr_6
P_m13,26.76690902127179,0.0,2.234253996414526,dt,num_visits_wt,21.394004868446824,32.377618155213625,0.5794531610898197,fr_grp_v_thr_6
P_m21,-3.051225697628057,0.7915203165445346,12.437473276764365,dt,num_visits_wt,-22.952518979445635,21.990553282654556,0.5794531610898197,fr_grp_v_thr_6
P_m22,-3.7241676036974924,0.7515265422549786,12.73458907715932,dt,num_visits_wt,-23.88205196143296,21.772014911707103,0.5794531610898197,fr_grp_v_thr_6
P_m23,29.417059325972296,0.12303101851395093,18.20046839076337,dt,num_visits_wt,-6.7474931231241815,79.60670233451377,0.5794531610898197,fr_grp_v_thr_6
P_m31,36.86480150452931,0.0,1.9969592299560412,dt,num_visits_wt,31.662204030520602,42.27297825374361,0.5794531610898197,fr_grp_v_thr_6
P_m32,13.303976935375662,0.28782543384757053,12.469522488150076,dt,num_visits_wt,-10.004937417078775,42.649950129691085,0.5794531610898197,fr_grp_v_thr_6
P_m33,32.835099190550274,0.0,3.469967490376713,dt,num_visits_wt,24.244543625938686,42.019625667324114,0.5794531610898197,fr_grp_v_thr_6
P_m0,24.122073251545118,0.0,0.623159616529434,dt,num_visits_wt,22.61995030643984,25.642597552519252,0.5794531610898197,fr_grp_v_thr_6
rain,-0.0456068771155671,0.265205232608273,0.040951130982613826,dt,num_visits_wt,-0.12578441730367595,0.03463502841360988,0.5794531610898197,fr_grp_v_thr_6
fuel_price,45.760239864584065,0.0,1.4739598554000644,dt,num_visits_wt,41.639462768569004,50.00090448024317,0.5794531610898197,fr_grp_v_thr_6
fuel_price_year,-25.886162167351756,0.00017502295626004027,8.310273707879489,dt,num_visits_wt,-36.62061349642541,-13.333636355500456,0.5794531610898197,fr_grp_v_thr_6
P_m11,10.5345079444505,7.323391284508318e-07,2.0429167300999085,dt,d_ha_wt,6.238953906604827,15.003743892871757,0.6104977637825539,fr_grp_v_thr_3
P_m12,10.889630093564474,7.711777168983858e-05,2.6492161310417206,dt,d_ha_wt,5.349940500895367,16.720617057994946,0.6104977637825539,fr_grp_v_thr_3
P_m13,12.940200718718774,5.927668378369333e-08,2.2701545302904025,dt,d_ha_wt,8.078930510517246,18.02012545954308,0.6104977637825539,fr_grp_v_thr_3
P_m21,2.160194951034189,0.4538962858284563,2.8947492228825977,dt,d_ha_wt,-3.3968113289634005,8.036862716545357,0.6104977637825539,fr_grp_v_thr_3
P_m22,-5.626439547338025,0.0012052885982820616,1.804724574705352,dt,d_ha_wt,-8.877532684017575,-2.2593529910914567,0.6104977637825539,fr_grp_v_thr_3
P_m23,1.7102196029373795,0.48650806960606174,2.4668143179800817,dt,d_ha_wt,-3.0334745527799245,6.6859797643118,0.6104977637825539,fr_grp_v_thr_3
P_m31,17.602356655231066,0.0,1.2574155987034041,dt,d_ha_wt,14.75711364935366,20.51814350370831,0.6104977637825539,fr_grp_v_thr_3
P_m32,9.051938939671466,4.819562696156687e-05,2.1550189697608246,dt,d_ha_wt,4.588683408117156,13.705661061786213,0.6104977637825539,fr_grp_v_thr_3
P_m33,16.65967712575418,2.220446049250313e-16,1.8840553571636498,dt,d_ha_wt,12.469008030944373,21.00649330294391,0.6104977637825539,fr_grp_v_thr_3
P_m0,8.487401864391586,6.639133687258436e-14,1.0928661817178886,dt,d_ha_wt,6.2006755375777045,10.823366270598767,0.6104977637825539,fr_grp_v_thr_3
rain,0.06665735512496607,0.0017990047196221326,0.021349079452459563,dt,d_ha_wt,0.024799262614028095,0.10853296429098602,0.6104977637825539,fr_grp_v_thr_3
fuel_price,-11.798934113349379,9.27732536601944e-05,3.2641929927399893,dt,d_ha_wt,-17.180459742403098,-6.06772267336162,0.6104977637825539,fr_grp_v_thr_3
fuel_price_year,57.496416154314154,0.5183513655439753,102.03431157891471,dt,d_ha_wt,-60.31298668694814,525.0185899802962,0.6104977637825539,fr_grp_v_thr_3
P_m11,11.556676809643474,1.7082287779857097e-06,2.3117534334647916,dt,d_ha_wt,6.669900895416969,16.6673263624072,0.6104567425643291,fr_grp_v_thr_4
